posted_date,current_price,original_price,changes_in_price,price,price_per_m2,times_in_sales
07-04-2018, 450.000, 450.000,-, 450.000, 4.167,2 maanden
20-06-2018, 340.000, 340.000,-, 340.000, 7.083,10 dagen
21-06-2018, 1.900.000, 1.900.000,-, 1.900.000, 9.896,9 dagen
23-06-2018, 230.000, 230.000,-, 230.000, 4.423,7 dagen
29-04-2018, 475.000, 495.000," -20.000 / -4,0%",,,
13-06-2018, 550.000, 550.000,-,,,
12-06-2018, 450.000, 450.000,-, 450.000, 6.250,18 dagen
16-06-2018, 325.000, 325.000,-, 325.000, 5.417,14 dagen
16-06-2018, 600.000, 600.000,-,,,
04-05-2018, 550.000, 550.000,-, 550.000, 3.929,1 maand
12-06-2018, 1.049.000, 1.049.000,-, 1.049.000, 4.948,18 dagen
18-05-2018, 725.000, 725.000,-, 725.000, 5.370,1 maand
29-06-2018, 189.000, 189.000,-, 189.000, 4.974,Nieuw
20-06-2018, 350.000, 350.000,-,,,
29-06-2018, 850.000, 850.000,-, 850.000, 6.071,Nieuw
15-06-2018, 600.000, 600.000,-, 600.000, 5.042,15 dagen
16-05-2018, 525.000, 525.000,-, 525.000, 5.357,1 maand
26-06-2018, 260.000, 260.000,-, 260.000, 5.200,4 dagen
16-05-2018, 400.000, 400.000,-, 400.000, 6.061,1 maand
09-06-2018, 325.000, 325.000,-, 325.000, 5.702,21 dagen
24-04-2018, 250.000, 250.000,-, 250.000, 3.247,2 maanden
13-06-2018, 550.000, 550.000,-,,,
13-06-2018, 300.000, 300.000,-, 300.000, 5.769,17 dagen
