Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Benedenwoning,1983,89 m²,249 m³,105 m²,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,404,2
Tussenwoning,-,500 m²,2.039 m³,320 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,140,4
Bovenwoning,1913,44 m²,119 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,200,11
Bovenwoning,2008,103 m²,335 m³,-,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,Ja,465,3
Eengezinswoning,1954,100 m²,-,100 m²,-,DubbelglasMuurDak,CV hoogrendement,-,-,Uitstekend,3,2,2e toilet,Luxe,Uitstekend,Uitstekend,Achter,WoningenGroenvoorzieningen,-,-,450,5
Appartement,1964,93 m²,283 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,333,3
Bovenwoning,1897,138 m²,518 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,-,-,295,3
Appartement,1963,80 m²,251 m³,446 m²,Lift,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,753,9
Bungalow,2018,22 m²,75 m³,35 m²,-,-,-,-,-,-,1,1,-,-,-,-,Ja,-,-,-,2.885,36
Appartement,1925,48 m²,131 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,106,4
Appartement,1963,67 m²,215 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,169,1
Eengezinswoning,2006,117 m²,433 m³,-,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,Ja,Ja,0,0
Appartement,1969,96 m²,302 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,Ja,0,0
Bovenwoning,1903,64 m²,210 m³,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Ja,-,43,2
Appartement,2012,59 m²,190 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,220,5
Woning,2018,144 m²,-,189 m²,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,0,0
Benedenwoning,-,53 m²,196 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,Ja,-,0,0
