treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,café,videotheek,(huis)arts,tandarts,fitnesscentrum,bibliotheek
"['Amsterdam Centraal', '2,1 kilometer', 'Volewijck']","['Total Selfservicestation Kadoelen', '2,4 kilometer', 'Volewijck']","['Without Worries', '300 meter', 'Volewijck']","['Stichting Openbaar Onderwijs Noord', '531 meter', 'Volewijck']","['Klessebessie', '103 meter', 'Volewijck']","['Clusius College', '847 meter', 'Volewijck']","['Eetcafé The Mansion', '271 meter', 'Volewijck']","['Weng Joeng Hong', '2,4 kilometer', 'Volewijck']","['Zijlstra V L J', '510 meter', 'Volewijck']","['Noorderboog Tandartspraktijk De', '295 meter', 'Volewijck']","['Optimal Fit Pp and H.', '2,2 kilometer', 'Volewijck']","['IHLIA LGBT heritage', '2,2 kilometer', 'Volewijck']"
"['Amsterdam Lelylaan', '2,2 kilometer', 'Osdorp-Oost']","['Texaco Benzinestation Osdorp', '589 meter', 'Osdorp-Oost']","['Nieuw Osdorp Market', '527 meter', 'Osdorp-Oost']","['Osdorpse Montessorischool', '70 meter', 'Osdorp-Oost']","['PVO Osdorpse Montessori De', '70 meter', 'Osdorp-Oost']","['Calandlyceum', '321 meter', 'Osdorp-Oost']","['Silvestre Benelux BV Café', '238 meter', 'Osdorp-Oost']","['Filmclub Videotheek Osdorp', '1,2 kilometer', 'Osdorp-Oost']","['Gezondheidscentrum Osdorp SAG', '311 meter', 'Osdorp-Oost']","['Noorlander R', '290 meter', 'Osdorp-Oost']","['Calandfit', '358 meter', 'Osdorp-Oost']","['Praktizijns Sociëteit Bibliotheek', '4,8 kilometer', 'Osdorp-Oost']"
"['Amsterdam Lelylaan', '4,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '1,3 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Oz Derya BV', '686 meter', 'Middelveldsche Akerpolder en Sloten']","['Punt Openbare Basisschool De', '809 meter', 'Middelveldsche Akerpolder en Sloten']","['Voorschool De Brenner', '55 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '2,1 kilometer', 'Middelveldsche Akerpolder en Sloten']","['The Vault', '1,2 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '776 meter', 'Middelveldsche Akerpolder en Sloten']","['Gezondheidscentrum De Vaart SAG', '747 meter', 'Middelveldsche Akerpolder en Sloten']","['Tandartspraktijk J A J M de Groot', '333 meter', 'Middelveldsche Akerpolder en Sloten']","['Friends 4 Life BV Fitnessclub', '489 meter', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '6,4 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Muiderpoort', '9,1 kilometer', 'Waterland']","['Shell Station Kriterion', '6,7 kilometer', 'Waterland']","['De Holland Winkel', '3,1 kilometer', 'Waterland']","['Overhaal Openbare Basisschool De', '1,5 kilometer', 'Waterland']","[""'t kidzzmolentje"", '2,2 kilometer', 'Waterland']","['Bredero Mavo', '6,7 kilometer', 'Waterland']","['Zwaan Hotel-Café CV De', '3,5 kilometer', 'Waterland']","['Videoland-CD Land', '3,5 kilometer', 'Waterland']","['Huisartsen Monnickendam', '4,1 kilometer', 'Waterland']","['Waterlandse Tandartsen', '2,1 kilometer', 'Waterland']","['Ooster Ee Fysiofitness', '3,5 kilometer', 'Waterland']","['Bibliotheek Waterland', '3,6 kilometer', 'Waterland']"
"['Amsterdam Centraal', '3,8 kilometer', 'Banne Buiksloot']","['Total Selfservicestation Kadoelen', '1,3 kilometer', 'Banne Buiksloot']","['Banne Market VOF', '708 meter', 'Banne Buiksloot']","['Driemaster Basisschool De', '328 meter', 'Banne Buiksloot']","[""Piratenschip BSO 't"", '355 meter', 'Banne Buiksloot']","['Bredero Mavo', '859 meter', 'Banne Buiksloot']","['JAN Stichting Studentencafé', '1,1 kilometer', 'Banne Buiksloot']","['Eurocorner', '2,4 kilometer', 'Banne Buiksloot']","['Gezondheidscentrum Banne Buiksloot SAG', '340 meter', 'Banne Buiksloot']","['Zijlstra N W J', '340 meter', 'Banne Buiksloot']","['Cardio Candy', '1,3 kilometer', 'Banne Buiksloot']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,4 kilometer', 'Banne Buiksloot']"
"['Amsterdam Sloterdijk', '1,5 kilometer', 'De Kolenkit']","['Autorette BP Sloterplas', '818 meter', 'De Kolenkit']","['Keet BV Supermarkt De', '322 meter', 'De Kolenkit']","['Bos en Lommer Openbare Basisschool', '536 meter', 'De Kolenkit']","['Joriskring Heilpedagogisch Dagverblijf', '408 meter', 'De Kolenkit']","['ROC Op Maat West', '476 meter', 'De Kolenkit']","['Grand Café Fossa', '528 meter', 'De Kolenkit']","['Tetauni Videotheek', '921 meter', 'De Kolenkit']","['GH Waarneming', '510 meter', 'De Kolenkit']","['Stip Tandartspraktijk De', '345 meter', 'De Kolenkit']","['MT-Fitness', '127 meter', 'De Kolenkit']","['Bibliotheca Philosophica Hermetica', '3,0 kilometer', 'De Kolenkit']"
"['Amsterdam Muiderpoort', '1,4 kilometer', 'Oosterparkbuurt']","['Total De Pijp', '1,5 kilometer', 'Oosterparkbuurt']","['Spar Van Kempen', '753 meter', 'Oosterparkbuurt']","['Aldoende Openbare Basisschool', '192 meter', 'Oosterparkbuurt']","[""Gaia's Kids"", '75 meter', 'Oosterparkbuurt']","['Metis Montessori Lyceum (AVO)', '293 meter', 'Oosterparkbuurt']","['Boek Eurocafé Het', '207 meter', 'Oosterparkbuurt']","['Movie MAX Moviestores', '295 meter', 'Oosterparkbuurt']","['Huisartsenpraktijk Camper', '108 meter', 'Oosterparkbuurt']","['TandartsThomas90', '45 meter', 'Oosterparkbuurt']","['Care4Fit intermediair in bedrijfsfitness', '207 meter', 'Oosterparkbuurt']","['Theosofische Bibliotheek', '757 meter', 'Oosterparkbuurt']"
"['Amsterdam Centraal', '4,8 kilometer', 'Oostzanerwerf']","['BP Kadoelen', '1,2 kilometer', 'Oostzanerwerf']","['Van der Velde & Eveleens VOF', '505 meter', 'Oostzanerwerf']","['Krijtmolen Openbare Basisschool De', '286 meter', 'Oostzanerwerf']","['Shirly4Kids', '460 meter', 'Oostzanerwerf']","['Praktijkcollege Noord', '1,1 kilometer', 'Oostzanerwerf']","['Kadoelen Café Koffiehuis', '1,5 kilometer', 'Oostzanerwerf']","['Eurocorner', '920 meter', 'Oostzanerwerf']","['Huisartsenpraktijk Molenwijk', '369 meter', 'Oostzanerwerf']","['Schröder Tandartsenpraktijk Reinier', '1,0 kilometer', 'Oostzanerwerf']","['Play-Fit', '750 meter', 'Oostzanerwerf']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,7 kilometer', 'Oostzanerwerf']"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,7 kilometer', 'Schinkelbuurt']","['BP Commandeur', '156 meter', 'Schinkelbuurt']","['Albert Heijn Supermarkt', '181 meter', 'Schinkelbuurt']","['Geert Groote School 1 Vrije School voor Basisonderwijs', '664 meter', 'Schinkelbuurt']","['KDV Plons', '155 meter', 'Schinkelbuurt']","['Winford Amsterdam', '467 meter', 'Schinkelbuurt']","['Bos Café', '53 meter', 'Schinkelbuurt']","['Lucky Star Videotheek', '264 meter', 'Schinkelbuurt']","['GP Locun', '116 meter', 'Schinkelbuurt']","['Bart Jansen Tandarts', '169 meter', 'Schinkelbuurt']","['IFit Health Station', '72 meter', 'Schinkelbuurt']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer', 'Schinkelbuurt']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,7 kilometer', 'Willemspark']","['BP Commandeur', '628 meter', 'Willemspark']","['Albert Heijn Supermarkt', '453 meter', 'Willemspark']","['2e Dalton Basisschool', '573 meter', 'Willemspark']","['Albers Kids & Care', '383 meter', 'Willemspark']","['Amsterdams Lyceum Het', '260 meter', 'Willemspark']","['Bedier Café', '403 meter', 'Willemspark']","['Lucky Star Videotheek', '441 meter', 'Willemspark']","['Neut Huisartsenpraktijk H W vd', '194 meter', 'Willemspark']","['Tandartspraktijk Koninginneweg', '73 meter', 'Willemspark']","['IFit Health Station', '544 meter', 'Willemspark']","['Praktizijns Sociëteit Bibliotheek', '1,4 kilometer', 'Willemspark']"
"['Amsterdam Sloterdijk', '3,6 kilometer', 'Eendracht']","['Demarol Zwanenburg BV', '2,5 kilometer', 'Eendracht']","['Sefa Market', '773 meter', 'Eendracht']","['Goeman Borgesiusschool', '659 meter', 'Eendracht']","['Caroline Drisdale', '148 meter', 'Eendracht']","['Wissel De', '2,9 kilometer', 'Eendracht']","[""Sanny's Place Café"", '1,0 kilometer', 'Eendracht']","['Filmclub Videotheek Zwanenburg', '2,7 kilometer', 'Eendracht']","['Busser W Huisartsenpraktijk R Runhert & J Leeuw', '801 meter', 'Eendracht']","['Tandartsenpraktijk Fallah', '1,1 kilometer', 'Eendracht']","[""Doel Lady's Only Fitnesscentrum Het"", '1,0 kilometer', 'Eendracht']","['Bibliotheca Philosophica Hermetica', '6,4 kilometer', 'Eendracht']"
"['Amsterdam Centraal', '5,8 kilometer', 'Waterland']","['Total Selfservicestation Kadoelen', '3,8 kilometer', 'Waterland']","['Deka Supermarkt', '1,8 kilometer', 'Waterland']","['Piramide Openbare Basisschool De', '1,8 kilometer', 'Waterland']","['Gastouderopvang Sammies lachebekkies', '1,8 kilometer', 'Waterland']","['Bredero Mavo', '2,7 kilometer', 'Waterland']","['Eetcafé Hoever', '1,8 kilometer', 'Waterland']","['Eurocorner', '5,2 kilometer', 'Waterland']","['Medisch Centrum Spelderholt', '1,9 kilometer', 'Waterland']","['Zainab Ait Omar', '2,0 kilometer', 'Waterland']","['Cardio Candy', '1,7 kilometer', 'Waterland']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '4,1 kilometer', 'Waterland']"
"['Amsterdam Centraal', '2,1 kilometer', 'Van Lennepbuurt']","['Texaco Bem BV Selfservice', '328 meter', 'Van Lennepbuurt']","['Casa Brazil Portugal', '89 meter', 'Van Lennepbuurt']","['Waterkant OBS Dalton De', '565 meter', 'Van Lennepbuurt']","['BINQ Kinderopvang', '180 meter', 'Van Lennepbuurt']","['Samenwerkingsverband 28 2', '523 meter', 'Van Lennepbuurt']","['Chesa La', '59 meter', 'Van Lennepbuurt']","['Asian Music Palace', '915 meter', 'Van Lennepbuurt']","['Pleister', '110 meter', 'Van Lennepbuurt']","['Tandarts FSG', '101 meter', 'Van Lennepbuurt']","['Pilatesworks', '396 meter', 'Van Lennepbuurt']","['Boekmanstichting Bibliotheek', '903 meter', 'Van Lennepbuurt']"
"['Amsterdam Muiderpoort', '796 meter', 'Oostelijke Eilanden en Kadijken']","['Mobil Station Zeist', '2,1 kilometer', 'Oostelijke Eilanden en Kadijken']","['Czaar Peter Supermarkt', '426 meter', 'Oostelijke Eilanden en Kadijken']","['Denken staat vrij', '428 meter', 'Oostelijke Eilanden en Kadijken']","['Dagje Spelen', '420 meter', 'Oostelijke Eilanden en Kadijken']","['Metis Montessori Lyceum', '539 meter', 'Oostelijke Eilanden en Kadijken']","['Langendijk Eetcafé', '243 meter', 'Oostelijke Eilanden en Kadijken']","['Telion Entertainment Videotheek', '466 meter', 'Oostelijke Eilanden en Kadijken']","['Gezondheidscentrum De Keyzer SAG', '399 meter', 'Oostelijke Eilanden en Kadijken']","['Uijlings R', '64 meter', 'Oostelijke Eilanden en Kadijken']","['Schaur Zumba Peter', '833 meter', 'Oostelijke Eilanden en Kadijken']","['Internationaal Instituut voor Sociale Geschiedenis', '1,2 kilometer', 'Oostelijke Eilanden en Kadijken']"
"['Amsterdam Lelylaan', '3,7 kilometer', 'De Punt']","['Demarol Badhoevedrop', '1,8 kilometer', 'De Punt']","['Oz Derya BV', '581 meter', 'De Punt']","['Punt Openbare Basisschool De', '328 meter', 'De Punt']","['Voorschool Punt De', '328 meter', 'De Punt']","['Calandlyceum', '1,8 kilometer', 'De Punt']","['De Kroon Party & Events', '546 meter', 'De Punt']","['Filmclub Videotheek Osdorp', '948 meter', 'De Punt']","['Gezondheidscentrum De Vaart SAG', '881 meter', 'De Punt']","['Duman Tandarts', '36 meter', 'De Punt']","['Friends 4 Life BV Fitnessclub', '1,2 kilometer', 'De Punt']","['Praktizijns Sociëteit Bibliotheek', '6,3 kilometer', 'De Punt']"
"['Amsterdam Centraal', '2,2 kilometer', 'Da Costabuurt']","['Texaco Bem BV Selfservice', '338 meter', 'Da Costabuurt']","['Casa Brazil Portugal', '170 meter', 'Da Costabuurt']","['Waterkant OBS Dalton De', '423 meter', 'Da Costabuurt']","['BINQ Kinderopvang', '78 meter', 'Da Costabuurt']","['Samenwerkingsverband 28 2', '538 meter', 'Da Costabuurt']","['Café T/O Dirk', '67 meter', 'Da Costabuurt']","['Asian Music Palace', '860 meter', 'Da Costabuurt']","['Huisartsenpraktijk Kwakersplein', '182 meter', 'Da Costabuurt']","['Tandarts FSG', '214 meter', 'Da Costabuurt']","['Pilatesworks', '302 meter', 'Da Costabuurt']","['Bibliotheca Philosophica Hermetica', '937 meter', 'Da Costabuurt']"
"['Amsterdam Lelylaan', '2,4 kilometer', 'Kinkerbuurt']","['Texaco Bem BV Selfservice', '774 meter', 'Kinkerbuurt']","['De Volkskruidentuin', '145 meter', 'Kinkerbuurt']","['Vlinderboom De', '169 meter', 'Kinkerbuurt']","['MMZijlstra', '104 meter', 'Kinkerbuurt']","['ABC Het', '672 meter', 'Kinkerbuurt']","['Topido', '128 meter', 'Kinkerbuurt']","['Asian Music Palace', '426 meter', 'Kinkerbuurt']","['Gezondheidscentrum Borgerstraat SAG', '108 meter', 'Kinkerbuurt']","['Gijs Franssen Tandarts', '163 meter', 'Kinkerbuurt']","['Family Gym The', '543 meter', 'Kinkerbuurt']","['Bibliotheca Philosophica Hermetica', '1,4 kilometer', 'Kinkerbuurt']"
"['Amsterdam Centraal', '4,7 kilometer', 'Kadoelen']","['BP Kadoelen', '582 meter', 'Kadoelen']","['Van der Velde & Eveleens VOF', '1,1 kilometer', 'Kadoelen']","['Twiske Openbare Basisschool', '257 meter', 'Kadoelen']","['Pedagogisch Medewerker Charmaine Bissoo', '195 meter', 'Kadoelen']","['Praktijkcollege Noord', '1,7 kilometer', 'Kadoelen']","['Kadoelen Café Koffiehuis', '1,2 kilometer', 'Kadoelen']","['Eurocorner', '1,2 kilometer', 'Kadoelen']","['Huisartsenpraktijk Bakkum', '733 meter', 'Kadoelen']","['Tandarts van Boven', '898 meter', 'Kadoelen']","['Play-Fit', '299 meter', 'Kadoelen']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '1,3 kilometer', 'Kadoelen']"
,,,,,,,,,,,
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '2,1 kilometer', 'Centrale Markt']","['Esso Station FCA', '976 meter', 'Centrale Markt']","['Bijkerk De Zuivelshop J', '353 meter', 'Centrale Markt']","['Bron Rooms Katholieke Basisschool De', '473 meter', 'Centrale Markt']","['Niños Catalpa Kindercentrum', '302 meter', 'Centrale Markt']","['Maria Nguyen', '136 meter', 'Centrale Markt']","['Café Sting The', '374 meter', 'Centrale Markt']","['Platebank BV', '461 meter', 'Centrale Markt']","['Bevers Huisartsenpraktijk', '437 meter', 'Centrale Markt']","['Parodontologie en Implantologie Praktijk Amsterdam', '444 meter', 'Centrale Markt']","['Selsa', '809 meter', 'Centrale Markt']","['Bibliotheca Philosophica Hermetica', '1,5 kilometer', 'Centrale Markt']"
,,,,,,,,,,,
"['Diemen', '2,3 kilometer', 'IJburg West']","['Shell Station Kriterion', '1,1 kilometer', 'IJburg West']","['Multi Tokorien IJburg', '2,0 kilometer', 'IJburg West']","['Abbs-de Zuiderzee', '317 meter', 'IJburg West']","['KinderVilla ijburg steigereiland nso', '210 meter', 'IJburg West']","['LUCA Praktijkschool', '2,6 kilometer', 'IJburg West']","['Café Blond B.V.', '310 meter', 'IJburg West']","['Movie Max Goldmovie Videotheek', '3,2 kilometer', 'IJburg West']","['Gezondheidscentrum Steigereiland SAG', '208 meter', 'IJburg West']","['Mondzorgcentrum IJburg', '159 meter', 'IJburg West']","['Fitamsterdam', '751 meter', 'IJburg West']","['Internationaal Instituut voor Sociale Geschiedenis', '3,0 kilometer', 'IJburg West']"
"['Amsterdam Lelylaan', '2,4 kilometer', 'Helmersbuurt']","['Texaco Bem BV Selfservice', '1,1 kilometer', 'Helmersbuurt']","['British General Stores', '425 meter', 'Helmersbuurt']","['Bredeschool Kinkerbuurt De', '444 meter', 'Helmersbuurt']","['Vondelkids', '19 meter', 'Helmersbuurt']","['ABC Het', '773 meter', 'Helmersbuurt']","['BR020', '19 meter', 'Helmersbuurt']","['Asian Music Palace', '644 meter', 'Helmersbuurt']","['Gezondheidscentrum Helmersstraat SAG', '140 meter', 'Helmersbuurt']","['Tandarts van Leeuwen', '94 meter', 'Helmersbuurt']","['Body Desk Fit-Center', '600 meter', 'Helmersbuurt']","['Boekmanstichting Bibliotheek', '1,4 kilometer', 'Helmersbuurt']"
"['Amsterdam Amstel', '982 meter', 'Oosterparkbuurt']","['Mobil Station Zeist', '1,1 kilometer', 'Oosterparkbuurt']","['Vomar Voordeelmarkt B.V.', '796 meter', 'Oosterparkbuurt']","['Kaap Openbare Basisschool De', '283 meter', 'Oosterparkbuurt']","['Pequeños El', '49 meter', 'Oosterparkbuurt']","['Metis Montessori Lyceum (AVO)', '169 meter', 'Oosterparkbuurt']","['Bromtjie Café', '267 meter', 'Oosterparkbuurt']","['Movie MAX Moviestores', '257 meter', 'Oosterparkbuurt']","['Huisartsen Vrolikstraat', '55 meter', 'Oosterparkbuurt']","['Tandartsspoedpraktijk', '388 meter', 'Oosterparkbuurt']","['Only 4 Ladies', '180 meter', 'Oosterparkbuurt']","['Theosofische Bibliotheek', '684 meter', 'Oosterparkbuurt']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,8 kilometer', 'Museumkwartier']","['Hobbemakade Shell Station', '624 meter', 'Museumkwartier']","['Organic Food For You', '664 meter', 'Museumkwartier']","['Schreuder Instituut', '507 meter', 'Museumkwartier']","['Zorg voor Kind en Huis', '35 meter', 'Museumkwartier']","['Montessori Lyceum Amsterdam (mavo)', '313 meter', 'Museumkwartier']","['Wildschut Café Restaurant', '160 meter', 'Museumkwartier']","['Filmclub Cinemagic', '786 meter', 'Museumkwartier']","['Jager-Janovitz Huisartsenpraktijk De', '74 meter', 'Museumkwartier']","['Bold R vd', '25 meter', 'Museumkwartier']","['Urban Wellness Concepts BV', '341 meter', 'Museumkwartier']","['Boekmanstichting Bibliotheek', '1,5 kilometer', 'Museumkwartier']"
"['Amsterdam Muiderpoort', '796 meter', 'Oostelijke Eilanden en Kadijken']","['Mobil Station Zeist', '2,1 kilometer', 'Oostelijke Eilanden en Kadijken']","['Czaar Peter Supermarkt', '426 meter', 'Oostelijke Eilanden en Kadijken']","['Denken staat vrij', '428 meter', 'Oostelijke Eilanden en Kadijken']","['Dagje Spelen', '420 meter', 'Oostelijke Eilanden en Kadijken']","['Metis Montessori Lyceum', '539 meter', 'Oostelijke Eilanden en Kadijken']","['Langendijk Eetcafé', '243 meter', 'Oostelijke Eilanden en Kadijken']","['Telion Entertainment Videotheek', '466 meter', 'Oostelijke Eilanden en Kadijken']","['Gezondheidscentrum De Keyzer SAG', '399 meter', 'Oostelijke Eilanden en Kadijken']","['Uijlings R', '64 meter', 'Oostelijke Eilanden en Kadijken']","['Schaur Zumba Peter', '833 meter', 'Oostelijke Eilanden en Kadijken']","['Internationaal Instituut voor Sociale Geschiedenis', '1,2 kilometer', 'Oostelijke Eilanden en Kadijken']"
"['Amsterdam Lelylaan', '3,5 kilometer', 'Middelveldsche Akerpolder en Sloten']","['Demarol Badhoevedrop', '566 meter', 'Middelveldsche Akerpolder en Sloten']","['Supermarkt Karadeniz', '801 meter', 'Middelveldsche Akerpolder en Sloten']","['Odyssee Basisschool De', '461 meter', 'Middelveldsche Akerpolder en Sloten']","['PVO Harlekijntje', '421 meter', 'Middelveldsche Akerpolder en Sloten']","['Calandlyceum', '1,5 kilometer', 'Middelveldsche Akerpolder en Sloten']","[""Louman's Hoekje Café"", '450 meter', 'Middelveldsche Akerpolder en Sloten']","['Filmclub Videotheek Osdorp', '511 meter', 'Middelveldsche Akerpolder en Sloten']","['Universum Care', '139 meter', 'Middelveldsche Akerpolder en Sloten']","['Muradin Eric M F Tandarts', '318 meter', 'Middelveldsche Akerpolder en Sloten']","['Back in Shape', '911 meter', 'Middelveldsche Akerpolder en Sloten']","['Praktizijns Sociëteit Bibliotheek', '5,5 kilometer', 'Middelveldsche Akerpolder en Sloten']"
"['Amsterdam Centraal', '2,3 kilometer', 'Nieuwendammerdijk en Buiksloterdijk']","['Total Selfservicestation Kadoelen', '2,8 kilometer', 'Nieuwendammerdijk en Buiksloterdijk']","['Supermarkt Fatih Lido VOF', '797 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Kinderboom Protestants Christelijk De', '551 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Gastouder Eigenwijs', '117 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Bredero Beroepscollege', '419 meter', 'Nieuwendammerdijk en Buiksloterdijk']","[""Boemeltje Café 't"", '262 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Weng Joeng Hong', '2,6 kilometer', 'Nieuwendammerdijk en Buiksloterdijk']","['Buijs L', '738 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Tandarts Liem', '588 meter', 'Nieuwendammerdijk en Buiksloterdijk']","['Optimal Fit Pp and H.', '1,8 kilometer', 'Nieuwendammerdijk en Buiksloterdijk']","['Toonkunst-Bibliotheek', '2,2 kilometer', 'Nieuwendammerdijk en Buiksloterdijk']"
,,,,,,,,,,,
"['Amsterdam Centraal', '3,5 kilometer', 'Tuindorp Oostzaan']","['Total Selfservicestation Kadoelen', '1,1 kilometer', 'Tuindorp Oostzaan']","['Avondwinkel Oosterpark', '541 meter', 'Tuindorp Oostzaan']","['Bureau Inzet Onderwijspersoneel Amsterdam', '629 meter', 'Tuindorp Oostzaan']","['PeuterTuin BV', '738 meter', 'Tuindorp Oostzaan']","['Praktijkcollege Noord', '1,9 kilometer', 'Tuindorp Oostzaan']","['Kadoelen Café Koffiehuis', '529 meter', 'Tuindorp Oostzaan']","['Eurocorner', '735 meter', 'Tuindorp Oostzaan']","['Huisartsenpraktijk Molkenboer', '345 meter', 'Tuindorp Oostzaan']","['Oehlers E M en Lunsen D M van Kindertandartspraktijk', '484 meter', 'Tuindorp Oostzaan']","['Play-Fit', '1,5 kilometer', 'Tuindorp Oostzaan']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,5 kilometer', 'Tuindorp Oostzaan']"
,,,,,,,,,,,
"['Amsterdam Lelylaan', '1,3 kilometer', 'Slotervaart']","['Autorette BP Sloterplas', '542 meter', 'Slotervaart']","['Keet BV Supermarkt De', '633 meter', 'Slotervaart']","['Japanese School of Amsterdam The', '328 meter', 'Slotervaart']","['Blije Bij Kinderopvang De', '434 meter', 'Slotervaart']","['Nova College Amsterdam', '337 meter', 'Slotervaart']","['Kleine Nachtwacht VOF De', '780 meter', 'Slotervaart']","['Tetauni Videotheek', '1,2 kilometer', 'Slotervaart']","['GH Waarneming', '383 meter', 'Slotervaart']","['Fung Kon Jin Tandarts R H W', '37 meter', 'Slotervaart']","['Fitness Centre Palestra', '892 meter', 'Slotervaart']","['Bibliotheca Philosophica Hermetica', '3,5 kilometer', 'Slotervaart']"
"['Amsterdam Lelylaan', '1,2 kilometer', 'Westindische buurt']","['Shell Station Postjesweg', '1,1 kilometer', 'Westindische buurt']","['Mina Supermarkt', '76 meter', 'Westindische buurt']","['7e Montessori', '519 meter', 'Westindische buurt']","['Tulp 1 Naschoolse Opvang De', '68 meter', 'Westindische buurt']","['ABC Het', '610 meter', 'Westindische buurt']","['Bardot Café', '141 meter', 'Westindische buurt']","['Filmclub Videotheek Overtoom', '490 meter', 'Westindische buurt']","['Bokma D B J en Eringa M J Huisartsenpraktijk', '300 meter', 'Westindische buurt']","['Circe Van Es Tandarts', '144 meter', 'Westindische buurt']","['Bridesight Fitness en Fysiotherapie', '357 meter', 'Westindische buurt']","['Praktizijns Sociëteit Bibliotheek', '2,5 kilometer', 'Westindische buurt']"
,,,,,,,,,,,
"['Amsterdam Sloterdijk', '865 meter', 'Slotermeer-Noordoost']","['Tankstation Haris BV', '262 meter', 'Slotermeer-Noordoost']","['Yakhlaf', '401 meter', 'Slotermeer-Noordoost']","['Slootermeer Openbare Basisschool', '255 meter', 'Slotermeer-Noordoost']","['PVO St Henricus 1 En 2', '92 meter', 'Slotermeer-Noordoost']","['Wissel De', '775 meter', 'Slotermeer-Noordoost']","['Orkide Café', '378 meter', 'Slotermeer-Noordoost']","['Tetauni Videotheek', '2,0 kilometer', 'Slotermeer-Noordoost']","['Heerde Huisartsenpraktijk Van', '265 meter', 'Slotermeer-Noordoost']","['Orthocenter Amsterdam West', '534 meter', 'Slotermeer-Noordoost']","['Gym de Benjamin', '628 meter', 'Slotermeer-Noordoost']","['Bibliotheca Philosophica Hermetica', '3,7 kilometer', 'Slotermeer-Noordoost']"
,,,,,,,,,,,
"['Amsterdam Centraal', '3,8 kilometer', 'Banne Buiksloot']","['Total Selfservicestation Kadoelen', '1,2 kilometer', 'Banne Buiksloot']","['Banne Market VOF', '689 meter', 'Banne Buiksloot']","['Driemaster Basisschool De', '292 meter', 'Banne Buiksloot']","[""Piratenschip BSO 't"", '298 meter', 'Banne Buiksloot']","['Bredero Mavo', '908 meter', 'Banne Buiksloot']","['JAN Stichting Studentencafé', '1,1 kilometer', 'Banne Buiksloot']","['Eurocorner', '2,4 kilometer', 'Banne Buiksloot']","['Gezondheidscentrum Banne Buiksloot SAG', '288 meter', 'Banne Buiksloot']","['Zijlstra N W J', '288 meter', 'Banne Buiksloot']","['Cardio Candy', '1,3 kilometer', 'Banne Buiksloot']","['Openbare Bibliotheek Waterland Vestiging Landsmeer', '2,4 kilometer', 'Banne Buiksloot']"
,,,,,,,,,,,
"['Amsterdam Zuid', '1,7 kilometer', 'Museumkwartier']","['BP Commandeur', '1,1 kilometer', 'Museumkwartier']","['Organic Food For You', '113 meter', 'Museumkwartier']","['2e Dalton Basisschool', '329 meter', 'Museumkwartier']","['Bengeltjes NV', '46 meter', 'Museumkwartier']","['Amsterdams Lyceum Het', '492 meter', 'Museumkwartier']","['King Arthur', '148 meter', 'Museumkwartier']","['Lucky Star Videotheek', '965 meter', 'Museumkwartier']","['Korthals Altes-Levy H R', '243 meter', 'Museumkwartier']","['Bruin R de', '136 meter', 'Museumkwartier']","['Personal Healthclub', '369 meter', 'Museumkwartier']","['Praktizijns Sociëteit Bibliotheek', '1,5 kilometer', 'Museumkwartier']"
