,Street,Zipcode,current_price,price_per_m2,Type,Construction_year,Living_area,LOT,Plot,Rooms,Bedrooms,treinstation,tankstation,supermarkt,basisschool,kinderopvang,middelbare school,caf̩,(huis)arts,tandarts,fitnesscentrum,inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit,neighbourhood
2151,"Reinwardtstraat 222, 1093 HP Amsterdam",1093.0,350000.0,,-,1987,74.0,225.0,,3,-,,,,,,,,,,,7.97,0.9850560398505604,13.489,0.14,0.13,0.35,0.28,0.1,0.43,0.13,0.44,4.67,0.61,0.17,0.22,"1,7",0.64,0.14,0.39,0.47,16.3,0.1309,
2152,"Van Eeghenstraat 47 Hs, 1071 EV Amsterdam",1071.0,1795000.0, 8.388,Woning,1894,214.0,785.0,,7,6,2100.0,1200.0,388.0,366.0,117.0,643.0,77.0,280.0,64.0,200.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,Museumkwartier
2153,Jacob van Lennepstraat 542 -v,,215000.0,-,Appartement,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,"Quellijnstraat 7 A, 1072 XM Amsterdam",1072.0,649500.0, 6.306,Appartement,1879,103.0,350.0,,3,1,,,,,,,,,,,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,
2155,"Spuistraat 98 -h, 98-1 en 98-2",1012.0,990000.0, 8.115,Woning,-,122.0,,49.0,-,-,721.0,1100.0,115.0,351.0,75.0,214.0,66.0,160.0,100.0,95.0,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203,Burgwallen-Nieuwe Zijde
2156,"Eastonstraat 97, 1068 JC Amsterdam",1068.0,0.0,-,Appartement,1964,72.0,241.0,,3,2,1300.0,382.0,627.0,452.0,360.0,725.0,414.0,186.0,348.0,619.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
2157,"Sarphatistraat 82 E, 1018 GS Amsterdam",1018.0,799000.0, 8.978,Appartement,-,89.0,,,3,-,1400.0,1700.0,443.0,142.0,319.0,553.0,124.0,206.0,45.0,313.0,7.26,0.9958791208791209,10.031,0.09,0.15,0.34,0.26,0.15,0.64,0.23,0.13,4.49,0.68,0.19,0.13,"1,5",0.66,0.28,0.34,0.38,22.6,0.050300000000000004,Weesperbuurt en Plantage
2158,Badhuiskade Ong,,733324.0,,-,2011,123.0,325.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,Badhuiskade Ong,,640957.0,,-,2011,110.0,270.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,Badhuiskade Ong,,630957.0,,-,2011,110.0,270.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,Badhuiskade Ong,,620957.0,,-,2011,110.0,270.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,Badhuiskade Ong,,606763.0,,-,2011,106.0,270.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,Badhuiskade Ong,,592763.0,,-,2011,106.0,280.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,Badhuiskade Ong,,577763.0,,-,2011,106.0,280.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,Badhuiskade Ong,,444487.0,,-,2011,80.0,210.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,"Tweede Boerhaavestraat,  Amsterdam",,349000.0, 5.629,Appartement,-,62.0,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,"Marco Polostraat 77 I, 1057 WG Amsterdam",1057.0,0.0,-,Bovenwoning,1929,54.0,137.0,,5,2,1800.0,680.0,299.0,99.0,190.0,465.0,156.0,194.0,295.0,442.0,10.02,0.9782823297137215,25.57,0.14,0.11,0.47,0.19,0.08,0.44,0.15,0.41,6.0,0.61,0.19,0.2,"1,6",0.69,0.12,0.48,0.4,16.9,0.1107,Hoofdweg en omgeving
2168,"Valeriusplein,  Amsterdam",,12500.0,-,Woon-/winkelpand,-,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,"Nieuwendammerdijk 222, 1025 LW Amsterdam",1025.0,0.0,-,Woning,1988,78.0,,,3,2,2800.0,3200.0,885.0,576.0,94.0,743.0,167.0,438.0,366.0,1400.0,1.685,,4.458,0.23,0.1,0.25,0.32,0.1,0.81,0.15,0.04,655.0,0.24,0.28,0.47,"2,6",0.77,0.41,0.33,0.26,24.3,0.0005,Nieuwendammerdijk en Buiksloterdijk
2170,Revaleiland 0 Ong,1014.0,1099901.0, 5.729,Penthouse,-,192.0,500.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,"President Kennedylaan 272 Iii, 1079 NX Amsterdam",1079.0,0.0,-,Appartement,1934,71.0,209.0,,4,2,528.0,226.0,281.0,204.0,110.0,169.0,476.0,554.0,133.0,884.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,Scheldebuurt
2172,Badhuiskade Ong,,377402.0,,-,2011,49.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,Badhuiskade Ong,,353402.0,,-,2011,49.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,"Looiersgracht 108, 1016 VT Amsterdam",1016.0,400000.0, 7.018,Appartement,1975,57.0,,,2,-,1800.0,287.0,329.0,265.0,198.0,328.0,48.0,307.0,88.0,152.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
2175,Hekelveld 7 2,1012.0,850000.0, 6.641,Appartement,1850,128.0,,128.0,3,2,328.0,1500.0,27.0,315.0,297.0,216.0,46.0,236.0,102.0,186.0,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203,Burgwallen-Nieuwe Zijde
2176,"Zuid-hollandstraat 112, 1082 EM Amsterdam",1082.0,29000.0,-,Garage,-,,,,-,-,1400.0,1100.0,298.0,32.0,290.0,544.0,534.0,197.0,233.0,638.0,12.165,0.8459787556904401,3.378,0.11,0.1,0.28,0.23,0.27,0.61,0.22,0.17,7.27,0.59,0.24,0.18,"1,6",0.71,0.28,0.4,0.32,23.2,0.0208,Buitenveldert-West
2177,"Sam van Houtenstraat 199 B, 1067 JG Amsterdam",1067.0,275000.0,,-,2005,105.0,285.0,,-,-,2800.0,1800.0,59.0,302.0,100.0,2100.0,307.0,40.0,385.0,323.0,12.825,1.000780031201248,9.663,0.21,0.16,0.31,0.2,0.11,0.3,0.1,0.6,5.67,0.43,0.2,0.37,"2,2",0.62,0.09,0.45,0.46,15.5,0.1107,Geuzenveld
2178,Westerdoksdijk 0 Ong,1013.0,55000.0,,-,2006,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,Voetboogstraat 4 Ii,1012.0,325000.0, 6.500,Appartement,1908,50.0,146.0,,2,1,,,,,,,,,,,4.47,1.4032258064516128,7.268,0.06,0.17,0.51,0.21,0.05,0.53,0.27,0.2,3.35,0.75,0.18,0.06,"1,3",0.71,0.28,0.36,0.36,21.8,0.0203,
2180,Revaleiland Ong,,751732.0,,-,2011,155.0,403.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,Ijburglaan 0 Ong,,27500.0,-,Appartement,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,Van Speijkstraat 40-3,1057.0,700000.0, 4.118,Bovenwoning,1923,170.0,542.0,,7,6,,,,,,,,,,,11.945,0.9646381578947368,22.538,0.14,0.14,0.45,0.2,0.07,0.54,0.16,0.3,6.875,0.56,0.22,0.22,"1,7",0.71,0.16,0.43,0.41,17.5,0.09,
2183,"Parkeerplaats Blok 23 B, 1087 XX Amsterdam",1087.0,30000.0,,-,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,"Poggenbeekstraat 9-2, 1073 JE Amsterdam",1073.0,0.0,-,Dubbele bovenwoning,1924,74.0,,,3,2,1400.0,126.0,593.0,298.0,212.0,210.0,241.0,330.0,187.0,227.0,7.805,0.9415422885572141,22.164,0.13,0.12,0.34,0.31,0.11,0.47,0.17,0.36,4.64,0.6,0.18,0.22,"1,7",0.64,0.14,0.41,0.45,17.0,0.1401,Diamantbuurt
2185,"Tweede Jan van der Heijdenstraat 101 I-ii, 1074 XT Amsterdam",1074.0,0.0,-,Appartement,1882,,510.0,,5,4,1500.0,1000.0,464.0,129.0,129.0,326.0,114.0,104.0,53.0,656.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,Oude Pijp
2186,"Sarphatistraat 82 I, 1018 GS Amsterdam",1018.0,1650000.0, 8.333,Appartement,-,198.0,,,5,-,1400.0,1700.0,443.0,142.0,319.0,553.0,124.0,206.0,45.0,313.0,7.26,0.9958791208791209,10.031,0.09,0.15,0.34,0.26,0.15,0.64,0.23,0.13,4.49,0.68,0.19,0.13,"1,5",0.66,0.28,0.34,0.38,22.6,0.050300000000000004,Weesperbuurt en Plantage
2187,"Abbenesstraat 17 2, 1059 TC Amsterdam",1059.0,0.0,-,Appartement,1930,59.0,219.0,,3,1,1400.0,539.0,256.0,762.0,316.0,170.0,146.0,319.0,145.0,657.0,10.835,0.8521367521367522,12.665,0.12,0.1,0.49,0.2,0.09,0.69,0.18,0.13,6.75,0.6,0.23,0.17,"1,6",0.79,0.26,0.44,0.3,21.2,0.0401,Hoofddorppleinbuurt
2188,"Biesboschstraat 61 1, 1078 MN Amsterdam",1078.0,0.0,-,Appartement,1929,86.0,,,4,2,1000.0,492.0,219.0,304.0,71.0,389.0,168.0,184.0,147.0,585.0,13.705,0.8557887610020312,10.175,0.13,0.11,0.4,0.23,0.13,0.71,0.19,0.1,8.065,0.57,0.22,0.21,"1,7",0.77,0.32,0.39,0.29,22.6,0.03,Scheldebuurt
2189,"Bos en Lommerplantsoen 109 P, 1055 AA Amsterdam",1055.0,165000.0, 5.156,Appartement,-,32.0,115.0,,1,1,,,,,,,,,,,7.34,1.0262068965517241,10.108,0.23,0.17,0.34,0.18,0.08,0.17,0.08,0.75,3.275,0.48,0.16,0.36,"2,2",0.53,0.06,0.44,0.5,14.3,0.18030000000000002,
2190,Gibraltarstraat 82 Hs,1055.0,375000.0, 5.357,Benedenwoning,1936,70.0,225.0,,3,-,,,,,,,,,,,17.65,1.0079635949943118,17.336,0.17,0.14,0.43,0.19,0.07,0.38,0.11,0.51,9.585,0.55,0.2,0.25,"1,8",0.67,0.11,0.47,0.42,16.2,0.1209,
2191,"Roemer Visscherstraat 18 -i, 1054 EX Amsterdam",1054.0,21000.0,-,Woning,1894,,,,-,-,2400.0,925.0,202.0,271.0,183.0,461.0,251.0,319.0,174.0,219.0,1.73,,7.787,0.14,0.11,0.33,0.28,0.14,0.63,0.24,0.13,950.0,0.58,0.2,0.21,"1,8",0.69,0.44,0.27,0.29,34.0,0.0409,Vondelbuurt
2192,"Eerste Jan Vd Heijdenstr 104 Iii, 1072 VA Amsterdam",1072.0,0.0,-,Appartement,1892,60.0,184.0,,3,2,1900.0,517.0,377.0,103.0,120.0,137.0,107.0,166.0,177.0,208.0,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,Oude Pijp
2193,S.f. van Oss-straat 228,1068.0,200000.0, 3.125,Appartement,1965,64.0,196.0,,2,-,1600.0,43.0,412.0,337.0,78.0,376.0,169.0,150.0,52.0,264.0,15.105,0.905993690851735,9.515,0.14,0.13,0.27,0.22,0.23,0.46,0.11,0.43,8.175,0.52,0.25,0.23,"1,8",0.65,0.14,0.43,0.43,16.9,0.0707,Osdorp-Oost
2194,"Sint Willibrordusstraat 3 Ii, 1074 XH Amsterdam",1074.0,0.0,-,Bovenwoning,1880,70.0,,,3,2,1300.0,959.0,328.0,206.0,206.0,150.0,125.0,80.0,191.0,692.0,11.7,0.9386909693454847,22.837,0.09,0.12,0.46,0.22,0.1,0.6,0.18,0.22,7.67,0.67,0.19,0.14,"1,5",0.74,0.19,0.4,0.41,18.5,0.0707,Nieuwe Pijp
2195,"Bernissestraat, 1079 ZW Amsterdam",1079.0,35000.0,-,Garage,-,,,,-,-,808.0,245.0,251.0,154.0,5.0,159.0,258.0,300.0,5.0,555.0,8.635,0.8530042918454935,9.002,0.11,0.11,0.42,0.24,0.13,0.64,0.17,0.19,5.545,0.63,0.21,0.17,"1,6",0.73,0.19,0.42,0.39,18.6,0.0706,Rijnbuurt
2196,Rozengracht 158,1016.0,0.0,-,Woning,-,,,,-,-,1600.0,355.0,30.0,249.0,302.0,217.0,33.0,205.0,137.0,135.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
2197,Bouwnummer 26,1035.0,865000.0, 5.058,Eengezinswoning,-,171.0,364.0,,1,-,4300.0,422.0,1200.0,414.0,317.0,1900.0,742.0,922.0,1100.0,732.0,2.9,0.9141914191419143,2.166,0.17,0.11,0.23,0.34,0.15,0.77,0.1,0.13,1.26,0.27,0.33,0.4,"2,3",0.75,0.21,0.37,0.42,18.3,0.0207,Kadoelen
2198,Badhuiskade Ong,,385416.0,,-,2011,50.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,"Tuinstraat 16 Hs+i, 1015 PE Amsterdam",1015.0,679000.0, 6.790,Woon-/winkelpand,-,100.0,,,4,-,1000.0,1000.0,429.0,319.0,42.0,594.0,74.0,183.0,35.0,418.0,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,Jordaan
2200,"Bosboom Toussaintstraat 53 1, 1054 AP Amsterdam",1054.0,1100000.0, 5.000,Bovenwoning,1898,220.0,,,10,-,2200.0,546.0,237.0,645.0,172.0,693.0,98.0,112.0,179.0,374.0,7.115,0.9203778677462888,21.356,0.13,0.11,0.44,0.25,0.07,0.66,0.22,0.12,4.46,0.64,0.19,0.18,"1,6",0.76,0.31,0.37,0.32,22.3,0.0405,Helmersbuurt
2201,De Lierhof Pp,,30000.0,-,Garage,-,,,,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,"Roy 1034, 1034 MO Amsterdam",1034.0,850000.0,-,Appartement,-,,260.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,"Tussen Meer 116, 1069 DT Amsterdam",1069.0,0.0,-,Appartement,1965,72.0,,,3,-,2800.0,1200.0,687.0,142.0,139.0,1000.0,443.0,327.0,135.0,728.0,13.37,0.9292929292929294,12.505,0.21,0.14,0.36,0.17,0.13,0.27,0.1,0.63,6.23,0.45,0.22,0.33,"2,1",0.63,0.09,0.45,0.46,15.7,0.12029999999999999,Osdorp-Midden
2204,"Saenredamstraat 66-2, 1072 CJ Amsterdam",1072.0,0.0,-,Appartement,1876,31.0,,,1,1,,,,,,,,,,,13.77,1.0294767870302137,21.803,0.1,0.15,0.48,0.22,0.06,0.61,0.21,0.18,9.36,0.69,0.19,0.13,"1,5",0.73,0.22,0.39,0.39,19.8,0.0601,
2205,"Langswater 485, 1069 ED Amsterdam",1069.0,0.0,-,Appartement,1966,69.0,187.0,,4,3,3000.0,1400.0,530.0,223.0,152.0,1200.0,518.0,522.0,149.0,938.0,5.185,0.9383177570093458,8.696,0.18,0.13,0.29,0.23,0.18,0.43,0.13,0.44,2.45,0.48,0.21,0.31,"2,0",0.63,0.11,0.45,0.44,16.4,0.0906,De Punt
2206,"Valeriusstraat 276 Ii, 1075 GN Amsterdam",1075.0,499000.0, 7.921,Appartement,-,63.0,,,-,1,1700.0,311.0,189.0,587.0,260.0,372.0,129.0,98.0,136.0,223.0,5.235,0.9885931558935362,8.225,0.19,0.1,0.35,0.26,0.1,0.64,0.26,0.1,2.675,0.5,0.22,0.28,"2,0",0.74,0.44,0.28,0.28,33.3,0.020499999999999997,Willemspark
2207,Grondpositie Tussen Amsterdam en Landsmeer,,0.0,-,Woning,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,"Javastraat 66 Iv, 1094 HK Amsterdam",1094.0,0.0,-,Bovenwoning,-,59.0,,,2,1,330.0,1900.0,285.0,169.0,175.0,690.0,95.0,133.0,74.0,324.0,12.055,1.0668380462724936,25.52,0.15,0.14,0.43,0.21,0.07,0.34,0.13,0.53,6.855,0.6,0.18,0.22,"1,8",0.63,0.09,0.42,0.49,15.5,0.1309,Indische Buurt West
2209,"Berkelstraat 17 -iva, 1078 CV Amsterdam",1078.0,0.0,-,Appartement,-,30.0,,,2,1,959.0,628.0,521.0,387.0,372.0,302.0,84.0,284.0,119.0,159.0,5.035,0.9254302103250477,19.6,0.12,0.11,0.41,0.25,0.11,0.59,0.19,0.22,3.145,0.61,0.2,0.19,"1,6",0.72,0.21,0.39,0.4,20.0,0.0707,IJselbuurt
2210,"Maria Austriastraat, 1087 GL Amsterdam",1087.0,15800.0,,-,-,,,,-,-,2300.0,2400.0,710.0,192.0,103.0,3700.0,1600.0,220.0,52.0,108.0,11.67,0.985531914893617,10.148,0.34,0.07,0.42,0.14,0.02,0.54,0.11,0.35,4.445,0.3,0.18,0.53,"2,6",0.81,0.37,0.4,0.23,23.4,0.05,IJburg West
2211,Gouden Leeuw 907,,149500.0,-,Boerderij,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,"Wilhelminastraat 152 1, 1054 WS Amsterdam",1054.0,0.0,-,Appartement,1904,,242.0,,3,2,1800.0,1300.0,433.0,289.0,68.0,289.0,200.0,259.0,137.0,339.0,7.235,0.9462365591397849,23.819,0.11,0.11,0.5,0.22,0.06,0.65,0.22,0.13,4.675,0.64,0.21,0.16,"1,5",0.76,0.26,0.39,0.35,20.3,0.05,Overtoomse Sluis
2213,"Pieter de Hoochstraat 19 G, 1071 ED Amsterdam",1071.0,880000.0, 7.333,Bovenwoning,2000,120.0,343.0,,-,-,2100.0,705.0,426.0,526.0,90.0,103.0,137.0,144.0,259.0,665.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,Museumkwartier
2214,John Blankensteinstraat 135 C,1095.0,510000.0, 4.636,Woning,-,110.0,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,"Keizersgracht 249 H V, 1016 EB Amsterdam",1016.0,0.0,-,Appartement,-,163.0,,,5,3,1200.0,616.0,196.0,334.0,103.0,141.0,185.0,251.0,178.0,351.0,6.805,1.133228840125392,13.56,0.09,0.12,0.38,0.3,0.11,0.62,0.3,0.08,4.495,0.65,0.23,0.12,"1,5",0.69,0.44,0.26,0.3,30.2,0.01,Grachtengordel-West
2216,Badhuiskade Ong,,513921.0,,-,2011,104.0,270.0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,Revaleiland Ong,,1048469.0,,-,2011,160.0,430.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,Badhuiskade Ong,,373416.0,,-,2011,50.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,Badhuiskade Ong,,341416.0,,-,2011,50.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,Badhuiskade Ong,,389416.0,,-,2011,50.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,"Prinseneiland 37 4, 1013 LL Amsterdam",1013.0,0.0,-,Penthouse,1005,135.0,,,3,2,1200.0,1700.0,176.0,164.0,155.0,164.0,314.0,324.0,338.0,865.0,8.63,1.0258215962441315,15.913,0.12,0.1,0.38,0.32,0.09,0.63,0.22,0.15,5.415,0.62,0.2,0.18,"1,6",0.72,0.29,0.36,0.35,21.5,0.0603,Haarlemmerbuurt
2222,"Overtoom 41 B, 1054 HB Amsterdam",1054.0,895000.0, 7.851,Penthouse,1905,114.0,,,-,-,2300.0,771.0,62.0,420.0,63.0,487.0,194.0,180.0,41.0,165.0,1.73,,7.787,0.14,0.11,0.33,0.28,0.14,0.63,0.24,0.13,950.0,0.58,0.2,0.21,"1,8",0.69,0.44,0.27,0.29,34.0,0.0409,Vondelbuurt
2223,Sarphatistraat 62 D,1018.0,599000.0, 7.488,Appartement,2000,80.0,,,2,1,1500.0,1600.0,413.0,68.0,361.0,627.0,188.0,184.0,30.0,364.0,7.26,0.9958791208791209,10.031,0.09,0.15,0.34,0.26,0.15,0.64,0.23,0.13,4.49,0.68,0.19,0.13,"1,5",0.66,0.28,0.34,0.38,22.6,0.050300000000000004,Weesperbuurt en Plantage
2224,"Planciusstraat 19 G 1, 1013 MD Amsterdam",1013.0,220000.0, 8.148,Appartement,2015,27.0,,,2,1,1400.0,1600.0,9.0,294.0,150.0,303.0,343.0,320.0,316.0,698.0,8.63,1.0258215962441315,15.913,0.12,0.1,0.38,0.32,0.09,0.63,0.22,0.15,5.415,0.62,0.2,0.18,"1,6",0.72,0.29,0.36,0.35,21.5,0.0603,Haarlemmerbuurt
2225,Badhuiskade Ong,,333416.0,,-,2011,49.0,130.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,"Willem de Zwijgerlaan 183 -bg, 1056 JM Amsterdam",1056.0,0.0,-,Appartement,1938,,279.0,,6,3,2200.0,373.0,299.0,175.0,348.0,262.0,197.0,166.0,161.0,277.0,17.65,1.0079635949943118,17.336,0.17,0.14,0.43,0.19,0.07,0.38,0.11,0.51,9.585,0.55,0.2,0.25,"1,8",0.67,0.11,0.47,0.42,16.2,0.1209,Landlust
2227,Leksmondhof 267,,225000.0,-,Appartement,-,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,"Tommaso Albinonistraat 34 +pp, 1083 HM Amsterdam",1083.0,0.0,-,Appartement,2006,,325.0,,3,2,311.0,162.0,1100.0,737.0,348.0,671.0,114.0,485.0,7.0,1000.0,7.105,0.7987341772151898,3.866,0.09,0.09,0.24,0.24,0.34,0.62,0.22,0.16,4.025,0.59,0.25,0.16,"1,6",0.66,0.3,0.38,0.32,23.6,0.0305,Buitenveldert-Oost
2229,Revaleiland Ong,,767558.0,,-,2011,155.0,403.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,"Keizersgracht 583-585 Bg, 1017 DR Amsterdam",1017.0,69500.0,-,Grachtenpand,1700,,,,-,-,1700.0,1200.0,187.0,381.0,111.0,200.0,216.0,391.0,316.0,388.0,4.235,1.1552162849872774,9.978,0.1,0.12,0.38,0.28,0.12,0.63,0.28,0.09,2.71,0.64,0.23,0.13,"1,6",0.72,0.41,0.27,0.32,31.4,0.010700000000000001,Grachtengordel-Zuid
2231,"Heer Halewijnstraat 11 Hs, 1055 SP Amsterdam",1055.0,285000.0, 5.089,Appartement,1930,56.0,,,3,2,1700.0,716.0,236.0,385.0,203.0,807.0,240.0,248.0,132.0,142.0,5.77,0.9794168096054888,15.935,0.14,0.14,0.5,0.16,0.07,0.49,0.15,0.36,3.4,0.58,0.23,0.19,"1,7",0.74,0.13,0.52,0.35,17.4,0.0601,Erasmuspark
2232,Bachstraat 11,1077.0,3500000.0, 9.211,Villa,1930,380.0,,,9,6,1200.0,373.0,893.0,38.0,327.0,402.0,492.0,310.0,115.0,319.0,8.165,0.8791714614499425,9.239,0.18,0.11,0.29,0.27,0.16,0.65,0.27,0.08,4.105,0.47,0.25,0.28,"2,0",0.71,0.55,0.23,0.22,38.8,0.0005,Apollobuurt
2233,Revaleiland Ong,,1146587.0,,-,2011,258.0,780.0,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,Revaleiland Ong,,727993.0,,-,2011,149.0,390.0,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,Revaleiland Ong,,498514.0,,-,2011,99.0,260.0,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236,"Osdorper Ban 742 + Pp, 1069 ZR Amsterdam",1069.0,0.0,-,Appartement,2007,83.0,,,3,-,3000.0,1500.0,733.0,375.0,101.0,1300.0,261.0,631.0,279.0,938.0,13.37,0.9292929292929294,12.505,0.21,0.14,0.36,0.17,0.13,0.27,0.1,0.63,6.23,0.45,0.22,0.33,"2,1",0.63,0.09,0.45,0.46,15.7,0.12029999999999999,Osdorp-Midden
2237,"Johannes Verhulststraat 152-2 Boven, 1071 NP Amsterdam",1071.0,0.0,-,Appartement,1905,,507.0,,6,4,1700.0,1100.0,170.0,283.0,60.0,436.0,178.0,190.0,97.0,349.0,11.31,0.9357876712328768,8.905,0.16,0.11,0.31,0.28,0.15,0.67,0.25,0.08,6.26,0.56,0.22,0.22,"1,8",0.72,0.48,0.25,0.27,33.9,0.0104,Museumkwartier
2238,Lijnbaansgracht 92,1015.0,4500000.0, 8.227,Studio,1005,547.0,,,8,3,,,,,,,,,,,18.92,1.0420939017808957,22.632,0.09,0.1,0.39,0.3,0.11,0.65,0.23,0.12,12.825,0.69,0.18,0.13,"1,4",0.72,0.26,0.37,0.37,21.0,0.0601,
2239,Knsm-laan,1019.0,32500.0,-,Garage,-,,,,-,-,1900.0,2200.0,507.0,471.0,210.0,911.0,421.0,333.0,463.0,310.0,17.75,1.0367183017785429,11.717,0.2,0.08,0.39,0.29,0.04,0.62,0.16,0.22,8.775,0.43,0.25,0.33,"2,0",0.8,0.4,0.37,0.23,24.8,0.0408,Oostelijk Havengebied
2240,"Admiraal de Ruijterweg 144 3, 1056 GV Amsterdam",1056.0,425000.0, 5.519,Appartement,1912,77.0,,,3,2,,,,,,,,,,,11.945,0.9646381578947368,22.538,0.14,0.14,0.45,0.2,0.07,0.54,0.16,0.3,6.875,0.56,0.22,0.22,"1,7",0.71,0.16,0.43,0.41,17.5,0.09,
