Street,Zipcode,Price,Broker
Plantage Muidergracht 157 Hs,1018 TT, 1.450.000,Dstrct Amsterdam
Keizersgracht 365 K,1016 EJ, 875.000,Dstrct Amsterdam
Ijplein 232,1021 LR, 325.000,RE/MAX PRO
Akersingel 9,1060 NJ, 275.000,Makelaardij Hendriks B.V.
Brouwersgracht 105 3,1015 GD, 595.000,Hard To Get B.V.
Banstraat 50 Ii,1071 KB, 1.585.000,BrinkBorgh Makelaardij
Osdorper Ban 987 +pp,1069 GA, 265.000,RE/MAX PRO
Blankenstraat 187 F,1018 RZ, 495.000,Isaak Makelaardij o.g. B.V.
Sarphatistraat 141 B,1018 GD, 533.000,Thoma Post Makelaar Amsterdam
Ruimzicht 68,1068 CN, 175.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Spadinalaan 33,1031 KB, 515.000,Hallie & van Klooster Makelaardij
Van der Palmkade 123,1051 RH, 500.000,Hallie & van Klooster Makelaardij
De Lairessestraat 68 3,1071 PE, 1.500.000,Aemestelle Makelaars B.V.
Herengracht 1 -huis,1015 BA, 935.000,Huisportaal.nl
Saskia van Uijlenburgkade 101 -hs+pp,1058 GA, 895.000,Remko Bijvoet Makelaardij b.v.
Tweede Atjehstraat 39 -a,1094 LC, 350.000,BrinkBorgh Makelaardij
Edisonstraat 29 1,1098 TC, 375.000,Ramon Mossel Makelaardij o.g. B.V.
Bernissestraat 14 D,1079 ZW, 749.000,Makelaarsland
Eerste Helmersstraat 201,1054 DV, 1.650.000,SEM Makelaars
Commelinstraat 468,1093 VD, 315.000,RE/MAX PRO
Koninginneweg 185 3,1075 CP, 599.000,Jaap Admiraal Makelaardij B.V.
Veldzicht 63 + Pp,1068 SM, 235.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Amstelveenseweg 611 A + Pp,1081 JD, 495.000,Thoma Post Makelaar Amsterdam
Jan Evertsenstraat 629,1061 XZ, 385.000,Your Home Makelaardij
Bloedstraat 17 F,1012 BS, 270.000,Your Home Makelaardij
Langswater 764,1069 EG, 199.500,ERA Van de Steege  Amsterdam-Centrum
Arubastraat 15 2,1058 VD, 865.000,Makelaarsland
Prinsengracht 145 B,1015 DR, 1.500.000,Van Maarschalkerwaart Makelaardij B.V.
Ijburglaan 819,1087 CL, 425.000,Linger OG
Bennebroekstraat 36 H,1058 LM, 450.000,Peters & van der Vloodt b.v.
Nachtwachtlaan 122,1058 ED, 274.011,11 Makelaars B.V.
Rustenburgerstraat 406,1072 HH, 1.675.000,Makelaardij De Nederlanden B.V.
Carolina Macgillavrylaan 560,1098 XB, 479.000,Makelaarsland
Derkinderenstraat 49 R,1062 DA, 300.000,Makelaardij Hendriks B.V.
Inzet 42,1068 RD, 225.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Hendrik de Bruynstraat 20 1,1065 EE, 275.000,Scholten Vastgoed B.V.
Orteliusstraat 154 2,1057 BJ, 265.000,Henk Burger Makelaardij og B.V.
Jan Olphert Vaillantlaan 83 B,1086 XZ, 590.000,Makelaarsland
Korte Distelstraat 1,1031 XD, 285.000,de Haas Makelaars
Dierenriem 94,1033 AH, 240.000,De Huizenbemiddelaar Amsterdam 2
Pieter van der Werfstraat 203,1067 EM, 275.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Frans van Mierisstraat 29 3,1071 RJ, 1.595.000,Voogd Makelaardij B.V.
Prinsengracht 211 C,1015 DT, 1.445.000,Dstrct Amsterdam
Jisperveldstraat 234,1024 AL, 225.000,Linger OG
Ijburglaan 1453,1087 KH, 375.000,Hallie & van Klooster Makelaardij
Jephtastraat 53 1,1055 JS, 250.000,De Oude Stad Makelaardij
Jeltje de Bosch Kemperpad 115,1054 PJ, 369.000,Makelaardij o.g. Willemspark
Sarphatistraat 60 E,1018 GP, 400.000,Makelaardij De Nederlanden B.V.
Van Oldenbarneveldtplein 11 Hs,1052 JL, 875.000,Hallie & van Klooster Makelaardij
Eerste Atjehstraat 111 3,1094 KG, 495.000,Dé Beheermakelaar
Beysterveld 159,1083 KC, 670.000,C. Hoen Dzn c.v.
