Type,Construction_year,Living_area,LOT,Plot,Other,Insulation,Heating,Energy_label,Energy_consumption,inside_maintenance_state,Rooms,Bedrooms,Sanitation,kitchen,outside_maintenace_state,outside_state_painting,Graden,view,Balcony,Garage,number_of_times_shown,number_of_times_shown_yesterday
Appartement,1999,97 m²,280 m³,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,216,14
Bovenwoning,1875,90 m²,282 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,69,12
Appartement,2007,82 m²,221 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,57,6
Bovenwoning,1983,60 m²,151 m³,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,175,4
Bovenwoning,1972,110 m²,334 m³,-,Lift,-,-,-,-,-,4,-,-,-,-,-,-,-,Ja,-,231,17
Eengezinswoning,1921,72 m²,-,86 m²,-,-,-,-,-,-,2,1,-,-,-,-,Ja,-,-,-,124,9
Appartement,1881,138 m²,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,13,12
Benedenwoning,1906,72 m²,-,106 m²,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,540,2
Woonboot,2008,149 m²,525 m³,149 m²,-,-,-,-,-,-,5,3,-,-,-,-,Ja,-,Ja,Ja,4.093,36
Grachtenpand,1679,,968 m³,85 m²,-,-,-,-,-,-,9,5,-,-,-,-,Ja,-,-,-,300,2
Bovenwoning,1924,73 m²,235 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,276,1
Appartement,1940,58 m²,195 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,258,12
Appartement,1930,74 m²,220 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,133,7
Eengezinswoning,2006,123 m²,391 m³,2 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,-,Ja,726,0
Bovenwoning,1939,116 m²,212 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,-,-,Ja,-,321,6
Tussenwoning,-,480 m²,1.350 m³,320 m²,-,-,Openhaard,-,-,-,4,3,-,-,-,-,Ja,-,-,-,113,4
Bovenwoning,1984,54 m²,167 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,124,8
Bovenwoning,1933,60 m²,200 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,484,6
Appartement,1992,94 m²,-,-,Lift,-,-,-,-,-,4,2,-,-,-,-,-,-,-,-,259,1
Bovenwoning,2013,96 m²,262 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,145,0
Appartement,1982,68 m²,210 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,Ja,-,-,-,165,4
Bovenwoning,1005,145 m²,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,487,4
Bovenwoning,1932,112 m²,349 m³,-,-,-,-,-,-,-,6,4,-,-,-,-,Ja,-,Ja,-,256,1
Bovenwoning,2015,57 m²,233 m³,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,133,3
-,1912,82 m²,268 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,-,-,45,3
Appartement,2003,69 m²,209 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,6,6
Appartement,1968,115 m²,280 m³,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,Ja,-,134,3
Eengezinswoning,1998,144 m²,418 m³,150 m²,-,-,-,-,-,-,4,3,-,-,-,-,Ja,-,Ja,-,146,3
Bovenwoning,1934,89 m²,291 m³,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,-,97,5
Bovenwoning,1005,110 m²,345 m³,45 m²,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,261,3
Bovenwoning,1993,74 m²,240 m³,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,62,2
Tussenwoning,1699,263 m²,855 m³,144 m²,-,-,-,-,-,-,12,5,-,-,-,-,Ja,-,Ja,-,844,6
Bovenwoning,1929,70 m²,227 m³,-,-,-,-,-,-,-,4,2,-,-,-,-,Ja,-,Ja,-,695,6
Bovenwoning,1900,69 m²,-,77 m²,-,-,-,-,-,-,3,2,-,-,-,-,-,-,Ja,-,477,4
